Question,Confirmation,Factoid,List,Causal,Hypothetical,Complex
Does cell division end in plants?,1,0,0,0,0,0
Why did the NFL Network begin to broadcast games again?,0,0,0,1,0,0
Why don't Jehovah Witnesses celebrate the usual holidays and customs?,0,0,0,1,0,0
The population of the Greater New Haven in 2010?,0,1,0,0,0,0
Why did Congress hold up the highway bill?,0,0,0,1,0,0
List two alternatives to rotary-step engines in printer applications.,0,0,1,0,0,0
Why do bees sting even though it will kill them?,0,0,0,1,0,0
Three lines under the Southern Railway opened in what year?,0,1,0,0,0,0
Why did he believe those concepts were accurate?,0,0,0,1,0,0
Did they need parental consent?,1,0,0,0,0,0
What was the name of first business in the world to own a computer?,0,1,0,0,0,0
Does the United Grand Lodge of England communicate with any of the 70 lodges on the CLIPSAS list?,1,0,0,0,0,0
Can they extend their deal?,1,0,0,0,0,0
Why did P. Christiaan Klieger believe that the Ming court supported high Tibetan lamas?,0,0,0,1,0,0
Why is the card game controversial?,0,0,0,1,0,0
Why are primary qualities non-essential?,0,0,0,1,0,0
Are there any answers to the Pradox of the Stone?,0,1,0,0,0,0
Who gave Mstyslav this title?,0,1,0,0,0,0
What major interstate in New Haven provides access northward into Massachusetts Vermont and eventually reaches the Canadian border?,0,1,0,0,0,0
Why are groups hesitant to work with government officials ?,0,0,0,1,0,0
Did Athanasus want to be the Saint of Alexandria?,1,0,0,0,0,0
Why is the black population in Bermuda different from that in the British West Indies and the United States?,0,0,0,1,0,0
Was child labour common in European colonies?,1,0,0,0,0,0
"From the 1950s to the 1980s, was the field devoted to the description or explanation of behaviours?",0,0,0,0,0,1
Why is it difficult to measure corruption?,0,0,0,1,0,0
Why did medical professionals advise using an anaesthetic during childbirth?,0,0,0,1,0,0
Does exercise have any role on cognitive brain function?,0,0,0,1,0,0
Does Myanmar offer destinations that could be good for outdoor enthusiasts?,0,0,0,0,0,1
Is the release of Samsara possible?,1,0,0,0,0,0
Did Austria get Silesia back?,1,0,0,0,0,0
Did Elizabeth tour Australia or New Zealand?,0,0,0,0,0,1
Was there anything good that could be found from the divergence into exchange?,0,1,0,0,0,0
Is the border between Armenia and Azerbaijan open or closed?,1,0,0,0,0,0
Are all CFLs suitable for thinning?,1,0,0,0,0,0
What gives another symmetry function?,0,1,0,0,0,0
This language is the official dialect of worship for the traditional sect for church worshipers of France?,0,1,0,0,0,0
Was Evatt for or against nationalizing the banking system in Australia?,0,1,0,0,0,0
How many active bands did Manchester have in the 1960's?,0,1,0,0,0,0
The south branch of the original fig tree is known as?,0,1,0,0,0,0
In what year was the last known person sentenced to death in England for heresy?,0,1,0,0,0,0
Why was Athanasius instructed to stop pretend baptising?,0,0,0,1,0,0
Why has Thai alphabet support been criticized?,0,0,0,1,0,0
Why is it always worth it to identify an infectious agent?,0,0,0,1,0,0
Have reviews rented PS2 hardware or software more frequently?,0,0,0,0,0,1
In which area are a large number of the country's agricultural products grown?,0,1,0,0,0,0
In one country is ecclesiastical matters part of a common law system?,1,0,0,0,0,0
In short the term Far East appeared to name this area,0,1,0,0,0,0
Why was YouTube completely blocked in all countries?,0,0,0,1,0,0
Why are the other versions of ASCII charging extra for extensions?,0,0,0,1,0,0
Were was the hydraulic crane initially used?,0,1,0,0,0,0
A single device can provide an audio device function such as?,0,1,0,0,0,0
What does the EASSy cable stand for?,0,1,0,0,0,0
Has the demand increased inside or outside the country?,1,0,0,0,0,0
Were drums heard on early jazz recordings?,1,0,0,0,0,0
Why was the west creating peace?,0,0,0,1,0,0
Is textual criticism immune from criticism?,1,0,0,0,0,0
Why is there an East End/West End rivalry?,0,0,0,1,0,0
Are normal droppings also eaten?,1,0,0,0,0,0
Was it in the US or Canada that Witnesses first gained the right to abstain from military service?,0,1,0,0,0,0
Do predators have larger or smaller brains compared to their prey?,1,0,0,0,0,0
What is considered to be central to the teachings of Buddhism?,0,1,0,0,0,0
Does communication with peers increase or decrease during adolescence?,0,0,0,0,0,1
Does a low ranking on the HDI indicate shorter or longer life expectancy at birth?,0,1,0,0,0,0
Why are the Somalian telecommunication companies so expensive?,0,0,0,1,0,0
The study of diseases caused by immune system disorders is called?,0,1,0,0,0,0
Has the world seen many or few changes in the observation of DST?,0,0,0,0,0,1
Why are the other versions of ASCII not true ASCII?,0,0,0,1,0,0
What REM song uses simple mandolin licks?,0,1,0,0,0,0
A five-part alloy is known as?,0,1,0,0,0,0
Why did thousands of new workers flock to Houston?,0,0,0,1,0,0
Why does the collector voltage drop in grounded-emitter transistor circuits?,0,0,0,1,0,0
Why was Beshuzev happy to put the troops on the Livonian-Lithunian border?,0,0,0,1,0,0
Hellenized Scythians were known as?,0,1,0,0,0,0
Does the NIBRS system or UCR system have more detailed data?,1,0,0,0,0,0
Why was the broadcast the most-watched in history?,0,0,0,1,0,0
The eastern communists new rhetoric was that the war was?,0,1,0,0,0,0
Was Russia or Belarus first in their declaration?,0,1,0,0,0,0
Who were the first monarchs crowned at Westminster Abbey?,0,1,0,0,0,0
Name three subcultures in the central city?,0,0,1,0,0,0
Why did Kerry participate in the protest?,0,0,0,1,0,0
Do all regions perceive that term 'black people' the same?,1,0,0,0,0,0
Why was a garrison implemented in Italy by the Romans?,0,0,0,1,0,0
Are the leadership roles of minorities well defined?,1,0,0,0,0,0
Are adolescents that have a good relationship with their parents more or less likely to smoke drink fight or engage in unprotected sex?,0,0,0,1,0,0
If humans had evolved to live twice as long what would be the implications for society and the environment?,0,0,0,0,1,0
Were the British successful in stopping the building of Fort Duquesne?,1,0,0,0,0,0
Why are uneven bars round?,0,0,0,1,0,0
Why can one find thousands of anthropological references to the topics?,0,0,0,1,0,0
Why do birds migrate?,0,0,0,1,0,0
How far away was the potential conflict Burke argued against?,0,1,0,0,0,0
Why is mercury the better option for liquid used in a Hydrostatic gauge?,0,0,0,1,0,0
Do defending champtions get to play in the following year's Champions League if they don't have enough wins to qualify?,1,0,0,0,0,0
Why was the Port Phillip Channel Deppening Project subject to controversy and strict regulations?,0,0,0,1,0,0
The annual sunshine rate of Somerset,0,1,0,0,0,0
Is teenage alcohol drug use at al all-time high or low?,1,0,0,0,0,0
Have women in studies become excited by heterosexual stimulation?,0,0,0,0,0,1
What is the Planck constant incorrectly known as?,0,1,0,0,0,0
Does daylight savings sometimes minimize or magnify the drawbacks of standard time?,0,0,0,0,1,0
Which streets have their own linked articles?,0,1,0,0,0,0
Name one actor that Madonna was inspired by?,0,0,1,0,0,0
Does this article cover east-west or north-south streets?,0,1,0,0,0,0
Was the final won by a club outside the best divisions?,1,0,0,0,0,0
Do the people of London agree with this action?,1,0,0,0,0,0
Does Melbourne have one of the largest or smallest carbon footprints in the world?,0,1,0,0,0,0
Who claims stone was common in Sumeria since it was used for seals?,0,1,0,0,0,0
Are there still Roman structures in our time?,1,0,0,0,0,0
Name two major events of the Seven Years' War In North America.,0,0,1,0,0,0
Why does no breeding for poultry exist today?,0,0,0,1,0,0
Did the starter of the petition believe that the festival of Mary's conception had the permission to be held?,0,0,0,0,0,1
The western communists new rhetoric was that the war was? ,0,0,0,1,0,0
What was the plan to settle and develop the State of Carolina?,0,1,0,0,0,0
Why did re or ri develop instead of pre?,0,0,0,1,0,0
Name an example of an administration that outlaws links between local and foreign political organizations.,0,1,0,0,0,0
Are there any important points of interest for visitors to Burma?,0,0,0,0,0,1
What was the island a source of for ships travelling from Asia to Europe?,0,1,0,0,0,0
Which two partners owned Jerrold Electronics?,0,1,0,0,0,0
In 1803 was act of parliament supported by EIC?,0,0,0,1,0,0
What television network was contracted to show Arena Football League games in 2010?,0,1,0,0,0,0
The CBC has found that newscasts should not take up more time than this event?,0,0,0,1,0,0
Why is finding the first exemplar important in textual criticism?,0,0,0,1,0,0
How would the education system change if students could download their knowledge directly into their brains?,0,0,0,0,1,0
Were Gaddafi's parents educated?,1,0,0,0,0,0
Why was Brooke being investigated?,0,0,0,1,0,0
Did the club later regret pulling out of the Club World Championship?,1,0,0,0,0,0
Why were mosaics destroyed in the iconoclastic era?,0,0,0,1,0,0
What does the Indian word 'Intruz' mean?,0,1,0,0,0,0
Can the citizens of the lower house be elected directly or indirectly? ,1,0,0,0,0,0
Is the public given incentive to report Endangered Species Act violations?,1,0,0,0,0,0
Is tuberculosis common or rare in the United States?,1,0,0,0,0,0
Name a hospital owned by INTEGRIS Health?,0,1,0,0,0,0
By what year does Dell plan to put chemicals in its computers?,0,1,0,0,0,0
The two parallel East India company had a power struggle in both England and?,0,1,0,0,0,0
Is there a consensus about the time that minority leadership officially emerged as a position?,0,1,0,0,0,0
Has accession led to changes in the region?,0,0,0,0,0,1
Why did Chopin request being cut open after his death?,0,0,0,1,0,0
How would international relations be affected if an unlimited clean water source was discovered?,0,0,0,0,1,0
What negative things can happen to your brain when you exercise?,0,1,0,0,0,0
Did the UEFA remove the 5 year ban on English clubs playing in European competitions in 1990?,1,0,0,0,0,0
Was English in Puerto Rico successful?,0,1,0,0,0,0
Name a Jewish newspaper?,0,1,0,0,0,0
Name one major group that Jews are often identified as belonging to.,0,1,0,0,0,0
Does Nanjing have a long or short cultural tradition?,0,0,0,0,0,1
Why can't you identify a duck from other poultry?,0,0,0,1,0,0
Were sulfonamides more or less toxic than arsphenamine?,0,1,0,0,0,0
What magazine compared Kanye to David Bowie?,0,1,0,0,0,0
Why did the train catch fire?,0,0,0,1,0,0
During was era did Buddhism first appear in the region?,0,1,0,0,0,0
Has any club won both in a same season?,0,0,0,0,0,1
Identify an advantage that Britain had during the Seven Year's War.,0,1,0,0,0,0
When did Queen Victoria die?,0,1,0,0,0,0
Have grad rates fallen or increased in the last years?,0,0,0,1,0,0
Why are plain water and ORT preparations not recommended?,0,1,0,0,0,0
Why does living in poverty raise your risk of diarrhea?,0,0,0,1,0,0
Can visitors travel unrestricted through the country?,1,0,0,0,0,0
When does the Julian calendar omit three leap days?,0,1,0,0,0,0
Why has demand for water increased annually on Cyprus?,0,0,0,1,0,0
Ban Ki-moon states that renewable energy has the ability to lift the poorest nations to new levels of prosperity?,0,1,0,0,0,0
Is Greg's idea limited to a specific period?,1,0,0,0,0,0
What is the third fastest growing economy in India?,0,1,0,0,0,0
Are Ewells considered rich or poor?,0,0,0,0,0,1
Which season five contestant has had the most success after the show?,0,1,0,0,0,0
Would the Comitia Centuriata occasionally be called upon to serve as the highest court of appeal?,1,0,0,0,0,0
What do 77.4% of people in the Western World describe themselves as?,0,1,0,0,0,0
Is it OK to drink alcohol while taking any antibiotic?,0,0,0,0,0,1
What island is the borough of Brooklyn located on?,0,1,0,0,0,0
Least populates areas of Utrecht,0,0,0,0,0,1
The regions of Białystok Galicia and Przemyśl were returned to what country after world war II?,0,1,0,0,0,0
Which genre of comic books had children concerned?,0,1,0,0,0,0
Does the Irish Government's London Embassy use the names of British islands?,1,0,0,0,0,0
Did everyone have the title of nobility?,1,0,0,0,0,0
Did the Lexicon Technicum focus on theological and biographical entries or science and technology?,0,0,0,0,0,1
Give an example of a predator that specializes in eating autotrophic species,0,1,0,0,0,0
Are there seedlings?,1,0,0,0,0,0
Why do debates have a distinct winner?,0,0,0,1,0,0
In what year was Redeem founded?,0,1,0,0,0,0
Is Cyprus an island country or land-locked country?,1,0,0,0,0,0
Why did tigers become extinct in Bhensrod Garh?,0,0,0,1,0,0
Why aren't homestead and subdivision areas less popular?,0,0,0,1,0,0
Is there anyone who is automatically eligible?,1,0,0,0,0,0
Does a high HDI ranking indicate a shorter or longer life expectancy at birth?,1,0,0,0,0,0
Why does Britian dispute the name British Isles?,0,0,0,1,0,0
Why is it cold basically sure able to slide?,0,1,0,0,0,0
Proximity and the ending of life is called?,0,1,0,0,0,0
Is statistical mechanics asymmetrical or symmetrical with respect to reverse time?,1,0,0,0,0,0
Why did the population of pigs and rabbits explode in New Zealand?,0,0,0,1,0,0
Why does Antarctica receive solar radiation?,0,0,0,1,0,0
Why were the controllers hard-wired to the console with multiple connectors?,0,0,0,1,0,0
Is the view of the impregnation of Mary's pregnancy the same as the one held for the birth of her first child?,0,1,0,0,0,0
Is Chinese a required or non-curriculum course?,1,0,0,0,0,0
Name a nation that has a single-party political system.,0,0,1,0,0,0
Why did humidity decrease during the Jurassic?,0,0,0,1,0,0
Percentage of unwed births?,0,1,0,0,0,0
What is considered a qualitative experience rather than a quantitative one?,0,1,0,0,0,0
Why did the one-party government struggle after the major earthquake in 1985?,0,0,0,1,0,0
Why did MTV ban the video for Justify My Love?,0,0,0,1,0,0
Does Al-Qaeda believe that Muslims in Burma are in danger?,1,0,0,0,0,0
Did the scientific revolution precede or follow the Age of Enlightenment?,0,1,0,0,0,0
Is Dutch as or unlike English in its treatment of compound names?,1,0,0,0,0,0
Have reviews praised the PS3's hardware of software more frequently?,0,0,0,0,0,1
Why did John Stuart Mill disagree with Hume?,0,0,0,1,0,0
"If all countries adopted universal basic income tomorrow, what would be the immediate and long-term effects on world economies?",0,0,0,0,1,0
Is Forsythe a traditional or alternative secondary school?,1,0,0,0,0,0
Why is San Francisco known as an iHub Innovation Center?,0,0,0,1,0,0
Is Port Phillip generally warmer or colder than the surrounding oceans and/or land mass?,1,0,0,0,0,0
Is the cup engraved for the winner?,1,0,0,0,0,0
What chemical is absent or low during daylight?,0,1,0,0,0,0
Whose energy levels are lower than the non-electrons in the electroluminescence process?,0,1,0,0,0,0
Does the hearing range of the human vary?,0,1,0,0,0,0
Did the 1969 Melbourne Transportation Plan change Melbourne into a more car-dominated or tram-dominated environment?,0,0,0,0,0,1
What type of waves will char paper?,0,1,0,0,0,0
Why were the canneries ultimately closed by the early 1980s?,0,0,0,1,0,0
Why is using the tax revenues and credit of the more stable banks to bail out the ones in danger of default an accepted practice?,0,0,0,1,0,0
Are there specific rules for not wearing head dresses?,1,0,0,0,0,0
Why might Darwin have postponed publishing his theory of evolution for over 20 years?,0,0,0,1,0,0
Why did the jazz clubs close down?,0,0,0,1,0,0
Does Montana have a sales tax?,1,0,0,0,0,0
Are living houses and classrooms seperate or conjoined?,0,0,0,0,0,1
What would be the consequences for biodiversity if bees died out?,0,0,0,0,1,0
Is Thailand treated differently from other Axis countries?,1,0,0,0,0,0
Why didn't the functions of police grow beyond law enforcement to urban planning?,0,0,0,1,0,0
Why do all authors experiment with their technique?,0,0,0,1,0,0
Which astronomer developed a heliocentric system?,0,1,0,0,0,0
Why was every Nachlass left behind after Whitehead's death?,0,0,0,1,0,0
What river was the city near?,0,1,0,0,0,0
Do the people of Greek ascendancy only speak Grecian languages?,1,0,0,0,0,0
Are aluminum and glass considered to be environmentally friendly or environmentally harmful?,0,0,0,0,0,1
Why can verbal report be used to assess very young children's memory?,0,0,0,1,0,0
Did cubism influence other fields outside of painting and sculpture?,0,0,0,0,0,1
Why do sexual organisms have two copies of each chromosome?,0,0,0,1,0,0
What device did Manchester invent?,0,1,0,0,0,0
Why do monarchs sometimes wear red?,0,0,0,1,0,0
What would happen to the sport industry if humans suddenly gained superhuman strength?,0,0,0,0,1,0
Does everyone have horrible asthma episodes?,1,0,0,0,0,0
Clopidogrel is a form of what inhibitor?,0,1,0,0,0,0
Once the passengers have exited what happens?,0,1,0,0,0,0
Why did John divert south?,0,0,0,1,0,0
Are antibiotics used in certain types of antibiotic resistance?,1,0,0,0,0,0
Was Athanasius well liked by everyone?,0,0,0,0,0,1
When was NCAZ founded?,0,1,0,0,0,0
In terms of a beach why might one see a red flag?,0,0,0,1,0,0
What did the nobles lose by being denounced?,0,1,0,0,0,0
Is it the majority or minority opinion that two different standard languages existed and overlapped at some historical point?,0,0,0,0,0,1
Who did Michael Greenberger erronesously name as a key player in speculative run-up of oil futures?,0,1,0,0,0,0
Why did humans feel that additional breeding tactics were unnecessary in poultry?,0,0,0,1,0,0
Why did the government led by Willian Ewart Gladstone collapse?,0,0,0,1,0,0
Do their mental health professionals have programs to change sexual orientation?,0,0,0,0,0,1
Identify a new country that joined the war in 1762?,0,0,1,0,0,0
Is Utrecht connected to the Dutch road network?,1,0,0,0,0,0
Why do independents and swing voters usually register to vote?,0,0,0,1,0,0
Why did some of the top teams consider leaving the Football league?,0,0,0,1,0,0
Name a nation that has a one-party political system.,0,0,1,0,0,0
Why does materialism agree with dualism?,0,0,0,1,0,0
Wa the game broadcast in both cities?,1,0,0,0,0,0
Beyonce's grandma's name was?,0,1,0,0,0,0
Was the landing successful?,1,0,0,0,0,0
Where does the word papuros come from?,0,1,0,0,0,0
Does Nanjing have a long or short tradition of culture?,0,0,0,0,0,1
Is much of Melbourne's metropolitan area characterized as low-density sprawl or high-density sprawl?,1,0,0,0,0,0
Who was born in 1948 at the Frei Monalva Station?,0,1,0,0,0,0
Are previous leaders a hendrence to the current government?,0,0,0,0,0,1
Were Laserdiscs initially cheaper or more costly to produce than their VHS counterparts?,0,1,0,0,0,0
Why is North Korea insisting that the 1953 armistice was violated?,0,0,0,1,0,0
Do adolescents or adults seem to give more weight to rewards?,0,0,0,1,0,0
Do Earth's lakes or glaciers hold the most freshwater?,0,1,0,0,0,0
"If artificial intelligence surpassed human intelligence, what would be the consequences for employment?",0,0,0,0,1,0
Did UEFA abolish the five-year ban on playing in English clubs in European competitions in 1990?,1,0,0,0,0,0
Why did Oskar Heil invent a device similar to Lilienfeld's?,0,0,0,1,0,0
Which population groups were excluded from most institutions of the public sphere?,0,0,0,0,0,1
Do they need parental consent?,1,0,0,0,0,0
Why is firearm muzzle energy often limited?,0,0,0,1,0,0
Name a player that commonly receives the first possession of the ball?,0,0,1,0,0,0
How do DNA changes affect plants?,0,1,0,0,0,0
Why did Feynman lose credit for his writing?,0,0,0,1,0,0
In one study it was found that the Ashkenazim were more or less diverse than their Middle Eastern relatives?,0,1,0,0,0,0
How would personal relationships change if humans could read the other's thoughts?,0,0,0,0,1,0
Is the photo gallery installed automatically or separately?,1,0,0,0,0,0
Name an example of a heavy isotope?,0,1,0,0,0,0
Is streaming the TV series on the same day as the first,1,0,0,0,0,0
Are the plants produced by this error able to reproduce?,1,0,0,0,0,0
Are bacterial cells smaller than eukaryotic cells?,1,0,0,0,0,0
When did the knightly genealogiae associate with heraldic devices?,0,1,0,0,0,0
Was that still the case in American political discourse?,1,0,0,0,0,0
Why did the szlachta demand privileges?,0,0,0,1,0,0
Are the Salvadorans a large population in the U.S.?,1,0,0,0,0,0
Name two arts of the four arts?,0,0,0,0,0,1
Has the violence in Burma decreased over the years as the country has tried made democratic strides?,0,0,0,1,0,0
Has the game ever fail to sell out?,1,0,0,0,0,0
Who are people of German ancestry living in western Europe?,0,1,0,0,0,0
Do street names pass from the west to the east or north to the south?,1,0,0,0,0,0
Why was philosophy taught in Ottoman madaris?,0,0,0,1,0,0
Can players be transferred under an emergency outside the transfer windows?,1,0,0,0,0,0
Was the transition from Old Dutch to Modern Dutch gradual or did it happen quickly?,1,0,0,0,0,0
Why did the city not grow during the Civil War?,0,0,0,1,0,0
Has the CRTC asked the CBC to negotiate with this station to extend its contract?,0,0,0,0,0,1
What is a common feature of passive solar architecture?,0,1,0,0,0,0
Why did Wilson rotate officers between communities?,0,0,0,1,0,0
Why was the second rise in popularity not as strong as the first?,0,0,0,1,0,0
Is the Irish Government using the term British Island?,1,0,0,0,0,0
Are snate majority leaders more influential than Speaker of the house?,1,0,0,0,0,0
Did the visit to the United States result in the release of political prisoners in Burma ?,1,0,0,0,0,0
Was was the emphasis early on?,0,0,0,0,0,1
Did the French take over Quebec?,1,0,0,0,0,0
Why do poorer states propagate territorial reform?,0,0,0,1,0,0
Under Gaddafi how did Freedom House rate Libya?,0,1,0,0,0,0
Where was Noah transported according to a story in the Talmud?,0,1,0,0,0,0
Why did Frederick reduce his manpower at Prague?,0,0,0,1,0,0
Are their any mental health professionals that have programs to change sexual orientation?,0,0,0,0,0,1
How would world politics evolve if a universally understood and spoken language emerged spontaneously?,0,0,0,0,1,0
Has public school enrollment dropped or increased in the last 5 years?,0,0,0,0,0,1
Why did demonstrators attack Russian soldiers in Khujand?,0,0,0,1,0,0
Why were naval skirmishes not really seen in the Korean War?,0,0,0,1,0,0
If diarrhea is stopped would could happen?,0,0,0,1,0,0
Why did Darwin introduce a new chapter in On the Origin of Species in the sixth edition?,0,0,0,1,0,0
Do children or adolescents tend to associate more with friends of the opposite sex?,0,0,0,0,0,1
When was TV introduced in Namibia?,0,1,0,0,0,0
Why wasn't the school named Yale College?,0,0,0,1,0,0
Why are oases being endangered?,0,0,0,1,0,0
Why did Sichuan see some communist activity?,0,0,0,1,0,0
Well-off continental dwellings consisted of?,0,0,1,0,0,0
Why did proposals about making the European sovereign debt assets more like the US Treasury?,0,0,0,1,0,0
Did Athanasus think it important to believe that Jesus was God's Son?,1,0,0,0,0,0
How many people in the United States were associated with Jehovah's Witnesses as of 1910?,0,1,0,0,0,0
Why was the referendum in 2008?,0,0,0,1,0,0
Why did most countries need an adapted version of ASCII?,0,0,0,1,0,0
Is the Lagrange formalism or the Hamiltonian more convenient for conservative systems?,1,0,0,0,0,0
Why does John Cobb believe China has become interested in process philosophy?,0,0,0,1,0,0
Was there a time this was not the case?,0,0,0,0,0,1
Why do refineries like to buy bitumen instead of synthetic oil?,0,0,0,1,0,0
Why shouldn't zinc be given alone to those with no deficiencies?,0,0,0,1,0,0
Why is Israel referred to as the 51st state?,0,0,0,1,0,0
Why didn't Stalin sign the pact?,0,0,0,1,0,0
Why did Armenia make Christianity its official religion?,0,0,0,1,0,0
I-91 is similar to I-95 in terms of bad traffic?,1,0,0,0,0,0
The CBC has lost clients because of their practice?,0,0,0,0,0,1
"If sleep was no longer needed for humans, how would society restructure the concept of work and leisure?",0,0,0,0,1,0
Why is Burma experiencing this problem with the gems industry?,0,0,0,1,0,0
Were Roman soldiers expected to purchase their own equipment?,1,0,0,0,0,0
Why did Mary not need a Savior?,0,0,0,1,0,0
Name three sub-cultures in the Center City?,0,0,1,0,0,0
Why were low-ranking local tribes recruited?,0,0,0,1,0,0
What happened to the Slavic people of the Baltic?,0,1,0,0,0,0
Why has Palermo's population declined from 2001 to 2010?,0,0,0,1,0,0
Why is the color red worn in the Catholic Church?,0,1,0,0,0,0
Is respiration in animals similar to photosynthesis in plants?,0,1,0,0,0,0
The coup leaders later became known as?,0,1,0,0,0,0
Did von Neumann like to think?,1,0,0,0,0,0
Why are Arabic translation efforts pointless to Western translation traditions?,0,0,0,1,0,0
Why are sensations considered copies of ideas?,0,0,0,1,0,0
English companies were allowed to trade with India unless?,0,0,0,0,0,1
Did September 11 lead to greater FBI surveillance?,1,0,0,0,0,0
Do all ducks fly south for the winter?,1,0,0,0,0,0
What is often quoted as contributing to improved working conditions?,0,1,0,0,0,0
Why can Bermudian blacks trace their ancestry back over centuries in Bermuda?,0,0,0,1,0,0
Were the Manchu's nomadic?,0,1,0,0,0,0
These mandolin are used in a popular dance music called?,0,1,0,0,0,0
Why didn't Houston's economy have problems in the late 1980's?,0,0,0,1,0,0
Why are Friendly's nonessential for major tournaments?,0,0,0,1,0,0
SuperSpeed is only supported by?,0,0,0,0,0,1
Name a popular series of boxing films?,0,0,1,0,0,0
"Are religious minorities in Iran - Christianity, Judaism, Zoroastrianism and Sunnis - part of the Iranian Parliament?",1,0,0,0,0,0
Are squabs treated differently from other piegons by humans aside from consumption?,0,1,0,0,0,0
Do antibiotics cause fasting in humans?,1,0,0,0,0,0
When did the FDA Amendment become a law?,0,1,0,0,0,0
Why were the Conservatives able to form a government alone?,0,0,0,1,0,0
Does Myanmar offer any destinations that might be good for outside enthusiasts?,0,0,0,0,0,1
Hoe did everyone learn that Beyonce performed for Kaddafi?,0,1,0,0,0,0
Name two major events of the Seven Years' War in North America.,0,0,1,0,0,0
Are there more males or females in Southampton?,1,0,0,0,0,0
What is the Chamorro word for being selfish?,0,1,0,0,0,0
Who used the figure of the tragic octoroon?,0,1,0,0,0,0
Are ultramicrobacteria well examined?,1,0,0,0,0,0
What was the original name of Olin Business School? ,0,1,0,0,0,0
Can you point certain areas of the brain to certain memories?,0,0,0,0,0,1
Is the top quartile of HDI considered high or very high human development?,1,0,0,0,0,0
Was it a low amount or high amount of children that also worked in prostitution?,0,0,0,0,0,1
Why do utility operators only ever accept renewable resources?,0,0,0,1,0,0
Why was Randall Ripley discredited as Speaker in 1883?,0,0,0,1,0,0
Can a person's sexual interest change over different times in their life?,0,1,0,0,0,0
Name a popular series of boxing movies?,0,0,1,0,0,0
Are Salvadorans a large population in the United States?,1,0,0,0,0,0
In the case of an electromagnetic wave these are called quanta of light or protons,0,1,0,0,0,0
Were children able to take on apprenticeships?,1,0,0,0,0,0
What was Seattle's gross product in 2010?,0,1,0,0,0,0
What festival is featured at Asia House London?,0,1,0,0,0,0
Is the name older than other group names in the region?,1,0,0,0,0,0
Is Chinese a compulsory or non-curriculum course?,1,0,0,0,0,0
The state's economy was largely defined by these two industries.,0,0,0,1,0,0
Are there other languages learned in the U.S. besides English?,1,0,0,0,0,0
Name two smaller Lutheran church bodies.,0,0,1,0,0,0
Is it OK to drink alcohol while taking any risks?,1,0,0,0,0,0
Why are landmarks for every Grand Lodge the same?,0,0,0,1,0,0
What would happen to the sports industry if humans suddenly gained superhuman strength?,0,0,0,0,1,0
Is it more common for panels to have a single design or many designs?,1,0,0,0,0,0
Does an aptérigot have wings or wings?,1,0,0,0,0,0
Does an Apterygots have wings or wingless?,1,0,0,0,0,0
Give three examples of pesticide target organisms.,0,0,1,0,0,0
What did Tom Hiddleston say about sending any potential kids to Eton?,0,1,0,0,0,0
Why were ancient relics lying in the central region of Russia?,0,0,0,1,0,0
Why did interest in solar water heating decrease in the 1980s?,0,0,0,1,0,0
Too many people earn from their social group?,0,0,0,0,0,1
Does the archeological record suggest that there was a rather large or small population of Jews in Gaul and Germany?,0,1,0,0,0,0
Do they speak Spanish fluently?,1,0,0,0,0,0
Wht line marks the center of the glacier?,0,1,0,0,0,0
Why was Dogri untouched by external customs?,0,0,0,1,0,0
Are all domestic and wild birds classified as poultry?,1,0,0,0,0,0
Have von Neumann's conclusions on the collapse of the whole cause of the universe been widely accepted?,1,0,0,0,0,0
Are there some discrepancies among scholars for the distinction of the period?,0,1,0,0,0,0
"Is the upper quartile of the HDI considered a ""high"" or ""very high"" human development?",1,0,0,0,0,0
How many versions of the CECH-4000 weren't made?,0,1,0,0,0,0
The second truth is?,0,0,0,0,0,1
Why were the lands in the region the Sumerian people settled fertile?,0,0,0,1,0,0
Why did the state House think they could change Oklahoma's motto?,0,0,0,1,0,0
The Mercury Music Prize is given out weekly for?,0,1,0,0,0,0
Students learn Spanish in American schools?,1,0,0,0,0,0
NICE decides the availability of drugs in which two countries?,0,1,0,0,0,0
Was Fort Roon named after one of the French generals or classified as a Monuments historiques?,0,0,0,0,0,1
Can women apply to be a member of Masonic Lodge?,1,0,0,0,0,0
Did Athanasius want to be the Patriarch of Alexandria?,1,0,0,0,0,0
Pope Sixtus V limited the number of cardinals to?,0,1,0,0,0,0
Was there a ceasefire during the talks?,1,0,0,0,0,0
Are all multicultural Americans aware of their heritage?,1,0,0,0,0,0
Are any other birds considered common in the world of poultry?,1,0,0,0,0,0
Why did Native Americans suffer such high mortality rates to the diseases?,0,0,0,1,0,0
Who manned the Cubs radio and TV booth for parts of five decades?,0,1,0,0,0,0
Why was a surrogate character mechanism implemented?,0,0,0,1,0,0
In deism is God represented in human form?,0,1,0,0,0,0
What makes pure metals impure metals?,0,1,0,0,0,0
Why type of scholar is music journalist Simon Reynolds?,0,1,0,0,0,0
Why is there no difficulty?,0,0,0,1,0,0
Why did Blacks move to Detroit in the middle of the 20th century?,0,0,0,1,0,0
Does the Parliamentary Assembly have any legislative power?,1,0,0,0,0,0
Why do animals not consume zinc in their diet?,0,0,0,1,0,0
Are short-range bluetooth accessories able to be used?,1,0,0,0,0,0
What would the consequences be if gravity was half as strong as it is now? (repeat),0,0,0,0,1,0
Did Japan support rival governments?,1,0,0,0,0,0
